FRB,nameCHAR,idCHAR,value_baseNMBR,typeCHAR,descriptionCHAR,currencyCHAR,discount_curveCHAR,reference_curveCHAR,spread_curveCHAR,notionalNMBR,coupon_rateNMBR,termNMBR,last_reset_rateNMBR,enable_business_day_ruleBOOL,business_day_ruleNMBR,business_day_directionNMBR,cf_datesCHAR,cf_valuesCHAR,asset_classCHAR,issue_dateDATE,maturity_dateDATE,coupon_generation_methodCHAR,compounding_typeCHAR,day_count_conventionCHAR,long_first_periodBOOL,long_last_periodBOOL,compounding_freqCHAR
Item,BNP Paribas Fortis SA EMTN Fix 5.757% 04.10.2017,836791,108.681,FRB,Medium Term Note,EUR,AGGR_EUR_FIN_BBB,,,100,0.05757,12,0,0,1,1,,,Fixed Income,22-Nov-2011,04-Oct-2017,backward,simple,act/365,FALSE,FALSE,annual
Item,BASF SE MTN v.2014(2018/2019),A1YC04,1031.2,FRB,BASF Corporate Bond 1.375pct 2019,EUR,IR_EUR,,SPREAD_EUR_HY,1000,0.01375,12,0,0,1,1,,,Fixed Income,22-Jan-2014,22-Jan-2019,backward,disc,act/365,0,FALSE,daily

